code,category,value,areaName
W92000004,0,0,Wales
W92000004,1,429559,Wales
W92000004,2,472906,Wales
W92000004,3,212281,Wales
W92000004,4,157455,Wales
W92000004,5,52304,Wales
W92000004,6,15162,Wales
W92000004,7,4709,Wales
W92000004,8,2738,Wales
E12000001,0,0,North East
E12000001,1,395924,North East
E12000001,2,410822,North East
E12000001,3,183528,North East
E12000001,4,128338,North East
E12000001,5,39167,North East
E12000001,6,12028,North East
E12000001,7,3687,North East
E12000001,8,2186,North East
E12000002,0,0,North West
E12000002,1,1014910,North West
E12000002,2,1054079,North West
E12000002,3,500601,North West
E12000002,4,377427,North West
E12000002,5,133010,North West
E12000002,6,45673,North West
E12000002,7,16093,North West
E12000002,8,11611,North West
E12000003,0,0,Yorkshire and The Humber
E12000003,1,733558,Yorkshire and The Humber
E12000003,2,814139,Yorkshire and The Humber
E12000003,3,356185,Yorkshire and The Humber
E12000003,4,276060,Yorkshire and The Humber
E12000003,5,97116,Yorkshire and The Humber
E12000003,6,33505,Yorkshire and The Humber
E12000003,7,12016,Yorkshire and The Humber
E12000003,8,8079,Yorkshire and The Humber
E12000004,0,0,East Midlands
E12000004,1,597177,East Midlands
E12000004,2,730945,East Midlands
E12000004,3,322451,East Midlands
E12000004,4,256146,East Midlands
E12000004,5,86624,East Midlands
E12000004,6,27834,East Midlands
E12000004,7,9384,East Midlands
E12000004,8,6773,East Midlands
E12000005,0,0,West Midlands
E12000005,1,725807,West Midlands
E12000005,2,811252,West Midlands
E12000005,3,387589,West Midlands
E12000005,4,310365,West Midlands
E12000005,5,119362,West Midlands
E12000005,6,45020,West Midlands
E12000005,7,17437,West Midlands
E12000005,8,12661,West Midlands
E12000006,0,0,East of England
E12000006,1,759808,East of England
E12000006,2,915234,East of England
E12000006,3,422590,East of England
E12000006,4,359854,East of England
E12000006,5,117695,East of England
E12000006,6,35780,East of England
E12000006,7,11027,East of England
E12000006,8,6794,East of England
E12000007,0,0,London
E12000007,1,1001983,London
E12000007,2,1007485,London
E12000007,3,587620,London
E12000007,4,483036,London
E12000007,5,201049,London
E12000007,6,80001,London
E12000007,7,32571,London
E12000007,8,30145,London
E12000008,0,0,South East
E12000008,1,1081739,South East
E12000008,2,1324005,South East
E12000008,3,617807,South East
E12000008,4,535503,South East
E12000008,5,172459,South East
E12000008,6,51445,South East
E12000008,7,15687,South East
E12000008,8,9321,South East
E12000009,0,0,South West
E12000009,1,741323,South West
E12000009,2,910536,South West
E12000009,3,364516,South West
E12000009,4,298067,South West
E12000009,5,93966,South West
E12000009,6,27509,South West
E12000009,7,8116,South West
E12000009,8,4848,South West
W92000004,0,0,Wales
W92000004,1,429559,Wales
W92000004,2,472906,Wales
W92000004,3,212281,Wales
W92000004,4,157455,Wales
W92000004,5,52304,Wales
W92000004,6,15162,Wales
W92000004,7,4709,Wales
W92000004,8,2738,Wales
